Transporteur;Gare origine;Gare origine - code UIC;Gare destination;Gare destination - code UIC;Classe;Profil tarifaire;Prix minimum;Prix maximum
TGV INOUI;NANCY;87141002;AEROPORT CDG2 TGV ROISSY;87271494;2;Tarif Elève - Etudiant - Apprenti;9.0;9.0
TGV INOUI;NANCY;87141002;NARBONNE;87781104;2;Tarif Elève - Etudiant - Apprenti;15.0;15.0
TGV INOUI;QUIMPERLE;87476317;VITRE;87471508;1;Tarif Réglementé;63.9;63.9
TGV INOUI;MONTPELLIER SAINT-ROCH;87773002;TOUL;87141044;1;Tarif Elève - Etudiant - Apprenti;19.0;19.0
TGV INOUI;NANCY;87141002;AGDE;87781278;2;Tarif Réglementé;99.5;119.8
TGV INOUI;LE MANS;87396002;LILLE EUROPE;87223263;2;Tarif Elève - Etudiant - Apprenti;12.0;12.0
TGV INOUI;MONTBARD;87713131;PONTARLIER;87715003;1;Tarif Elève - Etudiant - Apprenti;24.0;24.0
TGV INOUI;ANNECY;87746008;AIX LES BAINS - LE REVARD;87741132;1;Tarif Normal;6.0;21.5
TGV INOUI;NANCY;87141002;ANTIBES;87757674;2;Tarif Avantage;17.5;106.0
TGV INOUI;NANCY;87141002;RENNES;87471003;2;Tarif Réglementé;104.5;122.8
TGV INOUI;RANG DU FLIERS VERTON;87317057;PARIS NORD;87271007;1;Tarif Réglementé;89.3;89.3
TGV INOUI;LE MANS;87396002;LORIENT;87476002;2;Tarif Normal;20.0;63.0
TGV INOUI;LE HAVRE;87413013;VERSAILLES CHANTIERS;87393009;2;Tarif Elève - Etudiant - Apprenti;16.0;16.0
TGV INOUI;ANNECY;87746008;AURAY;87476200;1;Tarif Elève - Etudiant - Apprenti;26.0;26.0
TGV INOUI;MONTELIMAR GARE SNCF;87764001;ORANGE;87765107;1;Tarif Elève - Etudiant - Apprenti;15.0;15.0
TGV INOUI;LE MANS;87396002;LORRAINE TGV;87142109;2;Tarif Avantage;17.5;84.0
TGV INOUI;ANGOULEME;87583005;LYON PERRACHE;87722025;1;Tarif Avantage;21.5;142.0
TGV INOUI;MONTPELLIER SUD DE FRANCE;87688887;BELLEGARDE GARE;87745000;1;Tarif Avantage;16.5;92.0
TGV INOUI;NANCY;87141002;IS SUR TILLE;87713859;2;Tarif Avantage;3.5;28.5
TGV INOUI;RETHEL;87172270;REIMS;87171009;1;Tarif Elève - Etudiant - Apprenti;12.0;12.0
TGV INOUI;LE MANS;87396002;AEROPORT CDG2 TGV ROISSY;87271494;2;Tarif Avantage;10.5;48.0
TGV INOUI;MONTPELLIER SUD DE FRANCE;87688887;BELLEGARDE GARE;87745000;1;Tarif Normal;24.0;119.0
TGV INOUI;REDON;87471300;SALLANCHES-COMBLOUX-MEGEVE;87746438;1;Tarif Normal;36.0;219.0
TGV INOUI;RETHEL;87172270;SEDAN;87172254;1;Tarif Réglementé;23.3;23.3
TGV INOUI;ANGOULEME;87583005;LYON-SAINT EXUPERY TGV;87762906;1;Tarif Avantage;21.5;142.0
TGV INOUI;RIVES;87747246;LE CREUSOT - MONTCEAU TGV;87694109;1;Tarif Normal;22.0;78.0
TGV INOUI;REDON;87471300;ST MICHEL VALLOIRE;87742361;1;Tarif Normal;36.0;213.0
TGV INOUI;MONTPELLIER SUD DE FRANCE;87688887;LE CREUSOT - MONTCEAU TGV;87694109;1;Tarif Réglementé;105.6;105.6
TGV INOUI;MONTPELLIER SAINT-ROCH;87773002;BESANCON - F COMTE TGV;87300863;1;Tarif Avantage;18.0;135.0
TGV INOUI;RIVES;87747246;TGV HAUTE PICARDIE;87313882;1;Tarif Elève - Etudiant - Apprenti;19.0;19.0
TGV INOUI;NANCY;87141002;LILLE EUROPE;87223263;2;Tarif Normal;25.0;106.0
TGV INOUI;NANTES;87481002;AIX LES BAINS - LE REVARD;87741132;2;Tarif Avantage;17.5;95.0
TGV INOUI;ANGOULEME;87583005;MORCENX;87673103;1;Tarif Avantage;15.0;57.0
TGV INOUI;ANNECY;87746008;QUIMPER;87474098;1;Tarif Normal;36.0;210.0
TGV INOUI;MONTPELLIER SAINT-ROCH;87773002;ECOLE VALENTIN;87710731;1;Tarif Avantage;35.0;117.0
TGV INOUI;NANTES;87481002;ALBERTVILLE;87741645;2;Tarif Réglementé;111.9;134.0
TGV INOUI;RENNES;87471003;ALBERTVILLE;87741645;1;Tarif Elève - Etudiant - Apprenti;25.0;25.0
TGV INOUI;ANNECY;87746008;REDON;87471300;1;Tarif Normal;36.0;185.0
TGV INOUI;ANGOULEME;87583005;ORTHEZ;87672253;1;Tarif Réglementé;82.2;82.2
